Country,Deaths
Afghanistan,57.975
Albania,9.843
Algeria,22.683
Andorra,2.532
Angola,71.471
Antigua and Barbuda,6.392
Argentina,8.557
Armenia,10.941
Australia,3.696
Austria,3.622
Azerbaijan,19.388
Bahamas,12.258
Bahrain,6.757
Bangladesh,29.105
Barbados,12.248
Belarus,2.909
Belgium,4.235
Belize,11.663
Benin,85.939
Bhutan,27.624
Bolivia,25.369
Bosnia and Herzegovina,5.729
Botswana,44.844
Brazil,14.696
Brunei,11.511
Bulgaria,6.147
Burkina Faso,84.991
Burma,43.653
Burundi,54.353
Cabo Verde,14.186
Cambodia,25.678
Cameroon,72.208
Canada,4.993
Central African Republic,102.997
Chad,110.047
Chile,6.752
China,7.342
Colombia,13.187
Comoros,61.338
Congo (Kinshasa),44.634
Costa Rica,7.912
Cote d'Ivoire,77.913
Croatia,4.551
Cuba,5.106
Cyprus,2.771
Czechia,2.92
Denmark,3.615
Djibouti,55.878
Dominica,35.447
Dominican Republic,33.76
Ecuador,12.953
Egypt,19.456
El Salvador,12.875
Equatorial Guinea,78.49
Eritrea,39.267
Estonia,2.114
Eswatini,46.645
Ethiopia,48.708
Fiji,27.431
Finland,2.311
France,4.367
Gabon,41.734
Gambia,49.368
Georgia,9.257
Germany,3.652
Ghana,44.706
Greece,4.072
Grenada,16.351
Guatemala,23.646
Guinea,95.556
Guinea-Bissau,76.839
Guyana,28.404
Haiti,60.481
Honduras,16.216
Hungary,4.047
Iceland,1.934
India,32.632
Indonesia,23.005
Iran,12.943
Iraq,25.238
Ireland,3.024
Israel,3.581
Italy,2.908
Jamaica,13.28
Japan,2.49
Jordan,15.017
Kazakhstan,10.019
Kenya,41.874
"Korea, South",3.033
Kuwait,8.856
Kyrgyzstan,17.533
Laos,44.077
Latvia,4.003
Lebanon,6.984
Lesotho,89.52
Liberia,78.28
Libya,11.133
Lithuania,3.275
Luxembourg,2.783
Madagascar,50.238
Malawi,38.579
Malaysia,8.625
Maldives,6.462
Mali,90.99
Malta,6.458
Mauritania,70.71
Mauritius,16.517
Mexico,13.675
Moldova,14.475
Monaco,3.021
Mongolia,15.365
Montenegro,2.388
Morocco,18.687
Mozambique,70.552
Namibia,40.161
Nepal,28.159
Netherlands,4.16
New Zealand,4.72
Nicaragua,16.038
Niger,77.517
Nigeria,113.773
North Macedonia,5.932
Norway,2.199
Oman,11.006
Pakistan,65.183
Panama,14.339
Papua New Guinea,43.926
Paraguay,18.896
Peru,12.824
Philippines,26.366
Poland,4.363
Portugal,3.304
Qatar,5.763
Romania,6.882
Russia,5.415
Rwanda,40.47
Saint Kitts and Nevis,14.991
Saint Lucia,24.405
Saint Vincent and the Grenadines,14.118
San Marino,1.759
Sao Tome and Principe,16.142
Saudi Arabia,7.009
Senegal,38.084
Serbia,5.632
Seychelles,13.941
Sierra Leone,107.831
Singapore,2.236
Slovakia,5.755
Slovenia,2.178
Somalia,114.618
South Africa,32.222
South Sudan,97.857
Spain,3.246
Sri Lanka,6.928
Sudan,56.576
Suriname,17.57
Sweden,2.637
Switzerland,3.999
Syria,22.402
Tajikistan,32.279
Tanzania,48.867
Thailand,8.65
Timor-Leste,42.272
Togo,64.383
Trinidad and Tobago,16.596
Tunisia,16.618
Turkey,9.486
Uganda,43.316
Ukraine,8.114
United Arab Emirates,6.573
United Kingdom,4.209
Uruguay,6.186
United States of America,6.345
Uzbekistan,13.948
Venezuela,24.22
Vietnam,20.936
West Bank and Gaza,16.511
Yemen,59.581
Zambia,61.378
Zimbabwe,53.888
